# source, target, timestamp
0,385,134
0,385,2499
0,385,2970
0,385,3464
0,385,3629
0,385,4602
0,385,4832
0,385,4940
0,385,5131
0,385,5915
0,385,9930
0,385,12492
0,385,12516
0,385,45344
0,385,46184
0,385,47893
0,385,167794
0,385,169370
0,385,170492
0,385,170630
0,385,171483
0,385,171531
0,385,174917
0,385,175110
0,385,175145
0,385,175200
0,385,175667
0,385,175765
0,385,175999
0,385,176114
0,385,176213
0,385,176949
0,385,177082
0,385,177276
0,385,1016429
0,385,1016502
0,385,1020504
0,385,1024704
0,385,1024745
0,385,1080409
0,385,1551269
0,385,1551772
0,385,1551951
0,385,1553872
0,385,1553960
0,385,1554057
0,385,1554069
0,385,1554155
0,385,1554258
0,385,1554393
0,385,1554925
0,385,1554983
0,385,1555246
0,385,1555847
0,385,1555853
0,385,1555906
0,385,1555958
0,385,1556049
0,385,1556160
0,385,1556874
0,385,1556938
0,162,1613876
1,263,375371
1,263,375640
2,271,71672
2,271,71692
2,271,71782
2,271,71802
2,271,72454
2,271,72565
2,271,73388
2,271,73499
2,271,73633
2,271,73728
2,271,73839
2,271,74189
2,271,74229
2,271,74299
2,271,74340
2,271,74582
2,271,74622
2,271,74734
2,271,74888
2,271,75125
2,271,75238
2,271,76098
2,271,76210
2,36,129763
2,36,129879
2,36,132848
2,36,132964
2,36,137231
2,36,137345
2,271,643470
2,271,653902
2,271,655594
2,271,655629
2,271,660837
2,271,660860
2,271,666388
2,271,666412
2,271,666766
2,271,666784
2,271,666821
2,271,666926
2,271,668766
2,271,669244
2,271,670374
2,271,670401
2,271,672041
2,271,674163
2,271,675393
2,271,677237
2,271,682682
2,36,720113
2,36,722746
2,36,723636
2,271,723720
2,271,724110
2,271,758675
2,271,824206
2,271,824528
2,36,905884
2,36,906607
2,36,907349
2,36,922569
2,36,938370
2,271,940488
2,36,941271
2,271,941613
2,271,941700
2,271,942017
2,271,942067
2,271,942401
2,271,942431
2,36,942600
2,271,942645
2,271,943029
2,271,943413
2,271,943429
2,36,943484
2,271,944738
2,271,944757
2,271,945370
2,271,945404
2,271,945780
2,271,945820
2,271,946219
2,271,946920
2,271,947365
2,271,947374
2,271,947395
2,271,947411
2,271,947828
2,271,948213
2,271,948941
2,271,948966
2,271,950093
2,271,950107
2,271,950133
2,36,980866
2,271,1000710
2,271,1000724
2,271,1000930
2,271,1000951
2,271,1001873
2,271,1002582
2,271,1004845
2,271,1004855
2,271,1013714
2,271,1014099
2,271,1014725
2,271,1014896
2,271,1015212
2,271,1015705
2,271,1015729
2,271,1094785
2,36,1111656
2,36,1129695
2,271,1215215
2,271,1224496
2,169,1225230
2,169,1226676
2,169,1228324
2,271,1329314
2,271,1331451
2,36,1524773
2,271,1588060
2,271,1597331
2,36,1709240
2,36,1710410
2,36,1795256
2,271,1813704
2,36,1855195
2,36,1856697
2,36,1856880
2,36,1862616
2,36,1863073
2,271,1900056
2,36,1945092
2,36,1945325
2,36,1947161
2,36,2031456
2,36,2031534
2,36,2070836
2,36,2288130
2,36,2288398
2,36,2288560
2,36,2291404
2,36,2296739
2,36,2327220
3,205,134695
3,205,134824
3,205,134967
3,205,135219
3,205,135366
3,173,212895
3,173,212990
3,262,594404
3,262,594459
3,262,594464
3,325,600105
3,262,603113
3,173,665684
3,173,665872
3,173,665887
3,205,754463
3,205,755960
3,173,855668
3,173,858688
3,205,1013855
3,205,1014006
3,205,1014059
3,205,1014874
3,205,1019923
3,205,1019933
3,205,1024159
3,205,1024390
3,205,1024457
3,205,1024478
3,205,1024536
3,205,1024741
3,205,1025560
3,205,1025809
3,205,1025914
3,205,1025966
3,205,1026243
3,205,1026382
3,205,1026392
3,205,1026445
3,205,1026508
3,205,1026595
3,205,1026641
3,205,1026751
3,205,1026889
3,205,1027157
3,205,1027272
3,205,1027820
3,173,1029917
3,205,1029940
3,173,1084277
3,173,1084511
3,173,1084725
3,205,1089525
3,205,1093172
3,325,1166522
3,325,1166668
3,325,1182849
3,325,1252918
3,325,1253053
3,325,1256443
3,292,1257282
3,173,1258634
3,173,1258752
3,325,1269246
3,383,1337276
3,325,1342840
3,136,1367923
3,136,1368006
3,173,1679374
3,173,1681959
3,205,1721860
3,173,1775372
3,173,1776498
3,173,1777145
3,109,2065671
3,205,2065683
3,205,2153127
3,205,2207979
3,205,2210372
3,205,2210606
3,205,2210620
3,136,2235069
4,559,38913
4,559,40248
4,559,40402
4,559,41616
4,559,41794
4,559,121630
4,559,121759
4,559,124038
4,559,300614
4,559,309019
4,559,309664
4,559,1169874
4,208,1171097
4,208,1171748
4,208,1179313
4,559,1270501
4,559,1355663
4,559,1890866
4,559,1923114
4,559,1923193
4,559,2018821
5,22,119886
5,22,120108
5,22,122421
5,22,122430
5,22,202983
5,22,203361
5,22,203484
5,22,203585
5,22,203781
5,22,203848
5,22,282641
5,22,282651
5,22,337114
5,22,554733
5,22,642907
5,311,677327
5,311,677397
5,22,725594
5,311,739601
5,311,753045
5,311,754545
5,22,997036
5,22,1062553
5,22,1100157
5,22,1118558
5,22,1122897
