# source, target, timestamp, duration
27,26,1182843,175
27,221,1193901,2
27,50,1376148,39
27,50,1444937,0
27,50,1444976,0
27,221,1448876,0
27,221,1448992,143
27,50,1449151,143
27,221,1465008,28
27,221,1465417,6
27,221,1474810,0
27,253,1474829,0
27,26,1483718,0
27,26,1521814,110
27,26,1522024,110
27,221,1602356,25
27,50,1602452,2
27,26,1681048,73
27,26,1681261,74
27,221,1811335,1
27,221,1811361,1
27,221,1955161,2
27,221,1963085,38
27,26,1985213,42
27,26,1985428,42
27,26,1986112,0
27,50,2017998,1
27,221,2031564,0
27,221,2059886,4
27,221,2315440,63
27,50,2315866,60
28,193,2218760,5
29,435,112406,3
29,435,145525,101
29,435,153670,2
29,435,154130,231
29,435,249880,9
29,435,324444,39
29,435,405521,4
29,435,405743,147
29,435,406793,46
29,435,407741,0
29,435,407783,60
29,435,528866,513
29,435,937305,122
29,435,1013969,4
29,435,1017642,75
29,435,1094013,4
29,435,1135899,819
29,435,1182596,81
29,435,1188011,42
29,435,1373535,459
29,435,1534858,6
29,435,1616271,3
29,435,1617306,2
29,435,1621340,2
29,435,1694082,86
29,435,1925597,77
29,435,2067835,3
29,435,2154709,252
30,328,57599,45
31,25,2341097,2
32,33,1019791,21
32,33,1092895,0
32,33,1092899,0
32,33,1706646,26
33,319,750112,92
33,319,846414,3
33,319,1081256,33
33,319,1081310,18
33,32,1081430,38
33,32,1082314,18
33,319,1086607,4
33,319,1086631,3
33,319,1264013,7
33,319,1264064,3
33,32,1347945,250
33,32,1367846,29
33,319,1482854,17
33,319,1483010,11
33,319,1519862,3
33,32,1521705,2
33,32,1521733,2
33,319,1615241,0
33,32,1694105,133
33,319,1700179,15
33,32,1701819,50
33,319,1703872,0
33,319,1784120,35
33,319,1796959,103
33,319,1797148,15
33,319,1797263,100
33,319,1859024,35
33,32,1859078,43
33,32,1859141,0
33,319,1859199,0
33,319,1877826,3
33,319,1880483,38
33,319,1951704,0
33,319,1952437,78
33,319,1953693,4
33,319,2030358,93
33,319,2129148,31
33,319,2134363,-1
33,319,2134415,13
33,319,2213800,46
33,319,2217534,67
33,319,2219466,-1
33,319,2220692,31
33,32,2221895,42
34,35,407997,2
34,35,410290,2
34,35,515966,-1
34,35,918076,-1
34,35,918196,-1
34,35,995633,-1
34,35,1113537,3
34,1,1114005,5
34,35,1114078,3
34,35,1362672,1
34,35,1446798,-1
34,35,1446921,-1
34,35,1453846,-1
34,35,1458621,126
34,35,1496350,2
34,35,1515702,103
34,35,1636036,-1
34,35,1636781,-1
34,35,1670391,2
34,35,1670628,2
34,35,1696664,77
34,35,1875277,96
34,35,1965886,145
34,35,1973501,140
34,35,1973772,32
34,35,2031972,47
34,35,2049189,62
34,35,2218375,24
34,35,2298190,2
34,35,2302861,3
34,35,2303613,2
34,35,2317468,42
34,35,2319792,5
34,35,2320125,5
34,35,2320744,2
34,35,2321542,2
34,35,2321727,374
35,129,122429,101
35,260,137011,358
35,260,143341,307
35,260,144481,154
35,34,148941,69
35,34,236231,76
35,34,338816,218
35,34,408109,76
35,260,471117,0
35,260,473169,110
35,260,478978,50
35,260,479233,11
35,34,494025,134
35,260,517810,59
35,260,518390,15
35,1,743648,39
35,34,918300,178
35,34,994262,3
35,34,1016859,68
35,55,1100765,12
35,34,1363632,3
35,34,1444935,2
35,34,1455516,184
35,34,1496947,2
35,1,1528283,63
35,34,1671031,72
35,34,1696040,1
35,34,1696229,1
35,260,1949418,51
35,34,2217488,340
35,34,2224723,103
35,34,2224856,30
35,1,2295155,164
35,34,2297068,-1
35,34,2301738,172
35,34,2303672,32
35,34,2320965,192
35,34,2384408,296
35,34,2385199,812
37,56,297711,-1
37,56,298589,-1
37,56,901909,-1
37,18,1455483,19
37,464,1601996,2
37,464,1689923,126
38,217,721232,35
38,191,1012334,30
38,299,1012478,38
38,485,1012571,39
38,485,1012687,40
38,217,1012832,46
38,457,1013517,54
38,382,1013642,57
38,363,1015091,55
38,334,1479624,0
38,216,1602123,-1
39,358,566139,60
39,358,566206,59
39,358,567308,9
39,358,567374,9
41,471,487921,0
41,471,489351,0
41,471,1724433,110
41,11,1789188,4
41,11,1789338,4
42,311,144798,103
42,311,144873,103
43,266,1116783,67
44,527,303266,148
44,527,986252,39
47,354,825701,132
47,354,1448877,20
48,517,1157654,0
48,517,1874050,2
49,333,1862390,2
50,195,611505,29
50,27,1000566,11
50,141,1021853,25
50,27,1198186,37
50,99,1426540,18
50,199,1516132,-1
50,199,1523075,133
50,141,1622789,14
50,27,2023486,21
50,99,2114668,-1
50,221,2298855,41
52,420,1718268,41
53,54,69368,143
55,35,1100441,2
55,332,1674710,3
55,332,1674739,0
55,332,1674786,2
55,332,1674891,4
55,332,1674994,4
55,332,1675165,30
55,78,1805120,0
56,37,300934,197
57,23,68315,7
58,152,518065,1
58,89,1874463,-1
58,89,2318509,143
58,89,2323411,192
60,271,86180,36
60,195,1088942,-1
61,19,812475,81
63,317,579267,146
63,80,1426566,9
63,80,1426636,5
63,80,1427041,11
63,80,1427422,38
63,80,1427965,3
63,80,1429155,0
63,80,1429231,6
63,80,1430218,7
63,80,1431288,1
63,317,1453962,9
63,80,1462895,347
63,80,2024566,0
63,80,2024590,2
63,80,2025391,0
63,317,2043277,4
63,317,2045575,567
63,317,2053420,4
63,317,2053764,4
63,317,2054548,4
63,317,2054782,4
64,406,230349,36
64,406,230405,10
64,187,485361,66
64,406,734119,8
64,187,829463,2
64,273,1021083,0
64,439,1022173,0
64,273,1106094,0
64,406,1106154,3
64,357,1111834,2
64,465,2109486,0
64,234,2145969,22
64,187,2307380,3
64,273,2307395,9
64,187,2308102,2
64,273,2309189,0
64,337,2309279,-1
65,247,146838,24
66,67,53004,111
66,67,124412,604
66,67,130470,81
66,67,321053,127
66,67,418350,68
66,67,472371,71
66,67,739337,3
66,261,935671,4
66,45,987514,23
66,67,987888,155
66,261,988086,5
66,261,988190,34
66,261,988201,-1
66,67,988556,5
66,67,989182,2
66,67,994567,348
66,261,996163,58
66,67,998819,762
66,261,999690,15
66,261,1102826,0
66,261,1174149,-1
66,261,1174243,1106
66,67,1340783,-1
66,67,1425580,5
66,67,1426005,184
66,336,1632808,51
66,67,1679522,43
66,67,1960175,34
66,67,2045162,101
66,67,2134593,60
66,67,2136121,19
66,67,2137810,131
66,67,2138608,241
66,67,2139866,131
66,67,2238064,41
66,67,2369446,98
66,67,2398013,81
66,67,2399948,7
67,66,127617,4
67,66,128314,4
67,66,154712,273
67,66,201201,343
67,66,247608,0
67,66,321010,4
67,66,418016,154
67,66,472270,0
67,66,476045,396
67,66,478675,1
67,66,487806,114
67,66,555924,166
67,66,909591,2
67,66,989223,203
67,66,1080305,23
67,66,1080471,5
67,66,1080478,0
67,66,1270322,80
67,45,1282160,3
67,66,1340818,38
67,66,1425704,1
67,66,1592423,4
67,66,1647729,4
67,66,1651431,3
67,66,1686409,80
67,66,1873624,3
67,66,1943780,233
67,66,1961941,11
67,66,2029895,174
67,66,2048309,62
67,66,2112388,188
67,66,2134934,171
67,66,2135199,135
67,66,2138428,4
67,66,2237981,0
67,66,2368612,79
67,66,2368790,49
67,66,2369168,4
68,474,138678,0
68,474,138700,0
68,403,657468,-1
68,403,681924,-1
68,403,770618,0
68,403,1119605,10
68,279,1619170,39
69,401,749800,0
69,341,852459,585
69,341,1236231,2
70,118,906644,-1
70,118,910135,14
70,118,1512425,-1
70,118,1512500,31
71,448,383555,0
71,448,383745,51
71,448,477995,0
71,448,478162,23
71,391,667776,0
71,391,667890,2
71,448,764453,4
71,130,765600,8
71,391,1064431,7
71,130,1100301,0
71,130,1685123,26
71,448,1869866,3
71,448,1870107,3
71,422,2033381,0
71,422,2033692,3
72,143,146227,2
72,512,244575,30
72,412,573445,3
72,412,573497,2
72,83,609692,-1
72,512,615104,4
72,332,1119593,18
72,512,1516585,190
72,83,1617494,7
72,83,1617509,6
72,83,1617526,35
72,83,1617592,2
72,512,1672951,3
72,332,1697383,33
72,512,2040142,2
72,512,2124420,17
72,512,2371830,30
72,332,2380395,73
73,409,392607,0
73,409,392618,0
73,409,392628,73
73,241,1739779,30
73,241,1743086,59
74,351,995696,-1
74,351,995763,0
74,301,995932,297
74,351,998440,169
74,351,998505,169
74,301,1001287,382
74,351,1031127,168
74,301,1948890,0
74,301,1949033,78
74,301,2215100,42
74,301,2274442,0
75,11,2113744,2
75,250,2114287,33
75,11,2114365,2
75,11,2307153,82
75,11,2308600,14
75,250,2320190,4
75,392,2320226,32
75,392,2321149,0
75,392,2321230,22
76,214,1127595,0
77,266,765331,92
77,266,1540484,2
77,266,1551543,34
77,266,1551630,34
77,266,2330869,5
78,211,839697,256
78,211,839760,256
78,211,840375,580
78,211,840437,580
78,332,1509249,60
78,211,1693150,62
78,211,1693241,62
78,211,1694896,-1
78,211,1694986,5
78,211,1695113,5
78,211,1810733,-1
78,211,1810819,7
78,211,2202858,0
79,133,1717350,61
79,133,1720929,61
79,237,1730212,-1
79,91,1736464,14
80,317,496835,4
80,398,683328,64
80,471,995338,0
80,317,995364,463
80,471,1448651,0
80,63,1721360,2
80,317,1862549,3
80,317,1862664,0
80,317,1862675,0
80,317,1862684,0
80,317,1862872,3
80,317,1865200,5
80,317,1894017,328
80,317,1942095,0
80,471,2123837,38
82,101,1097294,184
82,101,1098671,141
82,101,1101527,2
82,101,1101588,3
82,101,1101618,2
82,522,1101662,0
82,101,1101843,39
82,522,2309554,10
83,224,507349,166
83,323,1030908,19
83,323,1033414,10
