# index, id, female, _pos
131,133,0,"array([16.72073499, 21.12474131])"
132,135,0,"array([16.747619  , 21.26790225])"
133,136,0,"array([16.7577177 , 21.07372461])"
134,137,0,"array([16.74484009, 21.07116451])"
135,138,0,"array([16.66931227, 21.04784367])"
136,139,0,"array([16.7358033 , 21.12597681])"
137,140,0,"array([16.69855775, 21.09341734])"
138,141,0,"array([16.68447815, 21.05252321])"
139,143,0,"array([16.70916265, 21.02490319])"
140,144,0,"array([16.73594916, 21.09999194])"
141,145,0,"array([16.74668367, 21.05335827])"
142,146,0,"array([16.70408617, 21.07334429])"
143,147,0,"array([16.72983526, 21.13326911])"
144,148,0,"array([16.73472554, 21.08900779])"
145,149,0,"array([16.7601991, 21.0762776])"
146,150,0,"array([16.61065879, 21.14585717])"
147,151,0,"array([16.72632699, 21.07644567])"
148,152,0,"array([16.74200044, 21.1127917 ])"
149,153,0,"array([16.67203711, 21.091882  ])"
150,154,0,"array([16.73691813, 21.10336526])"
151,155,0,"array([16.73670056, 21.06656153])"
152,156,0,"array([16.7198842 , 21.11638079])"
153,157,0,"array([16.73263144, 21.10649786])"
154,158,0,"array([16.75762073, 21.10737333])"
155,159,0,"array([16.69690449, 21.11357884])"
156,160,0,"array([16.71375027, 21.13516703])"
157,161,0,"array([16.77678658, 21.02599217])"
158,163,0,"array([16.75830448, 21.05996739])"
159,164,0,"array([16.76246244, 21.05760269])"
160,165,0,"array([16.77367338, 21.10360595])"
161,166,0,"array([16.76158084, 21.10580265])"
162,167,0,"array([16.76319163, 21.04892445])"
163,168,0,"array([16.69660309, 21.08457994])"
164,169,0,"array([16.77444652, 21.07697608])"
165,170,0,"array([16.75992682, 21.0645319 ])"
166,171,0,"array([16.75804715, 21.04292969])"
167,172,0,"array([16.69567754, 21.10074155])"
168,173,0,"array([16.73743392, 21.08147369])"
169,174,0,"array([16.68464936, 21.11745263])"
170,175,0,"array([16.7298261 , 21.06225113])"
171,176,0,"array([16.73078689, 21.08127135])"
172,177,0,"array([16.73551149, 21.11314639])"
173,178,0,"array([16.76523266, 21.123057  ])"
174,179,0,"array([16.74293395, 21.09255594])"
175,180,0,"array([16.72731608, 21.09585313])"
176,181,0,"array([16.74492911, 21.07698936])"
177,182,0,"array([16.73698416, 21.09419223])"
178,183,0,"array([16.74414954, 21.08963554])"
179,184,0,"array([16.50368537, 21.12174671])"
180,185,0,"array([16.73430933, 21.04703788])"
181,186,0,"array([16.77024369, 21.06421239])"
182,187,0,"array([16.70093111, 21.12497914])"
183,188,0,"array([16.71824302, 21.10177135])"
184,189,0,"array([16.7581199 , 21.08390284])"
185,190,0,"array([16.74296911, 21.08269447])"
186,191,0,"array([16.7556234 , 21.08736554])"
187,192,0,"array([16.73991596, 21.10685106])"
188,193,0,"array([16.75058033, 21.09201285])"
189,194,0,"array([16.73355437, 21.06241656])"
190,195,0,"array([16.73717919, 21.11797212])"
191,196,0,"array([16.7596105 , 21.11926686])"
192,197,0,"array([16.68188996, 21.10982642])"
193,198,0,"array([16.74026225, 21.12263574])"
194,199,0,"array([16.69256529, 21.0620008 ])"
195,200,0,"array([16.75714733, 21.1374875 ])"
196,201,0,"array([16.74729561, 21.10172888])"
197,202,0,"array([16.9702076 , 21.34285104])"
198,203,0,"array([16.73785142, 21.1302618 ])"
199,204,0,"array([16.77138803, 21.04818716])"
200,205,0,"array([16.7551448 , 21.09095327])"
201,206,0,"array([16.7245073 , 21.06885404])"
202,207,0,"array([16.72178277, 21.09942021])"
203,208,0,"array([16.74217037, 21.0708574 ])"
204,209,0,"array([16.70408569, 21.12133189])"
205,210,0,"array([16.73957502, 21.04745057])"
206,211,0,"array([16.77089479, 21.11454776])"
207,212,0,"array([16.71683067, 21.03576708])"
208,213,0,"array([16.79437056, 21.09275526])"
209,214,0,"array([16.68887465, 21.03327702])"
210,215,0,"array([16.73998965, 21.07295769])"
211,216,0,"array([16.76797093, 21.05005401])"
212,217,0,"array([16.75481235, 21.07013668])"
213,218,0,"array([16.70763749, 21.1030582 ])"
214,219,0,"array([16.6665342 , 21.05867964])"
215,220,0,"array([16.71291855, 21.07402696])"
216,221,0,"array([16.74851776, 21.08908784])"
217,222,0,"array([16.7053431 , 21.08161097])"
218,223,0,"array([16.72531167, 21.12475785])"
219,224,0,"array([16.70553818, 21.11015404])"
220,225,0,"array([16.68565202, 21.11291902])"
221,226,0,"array([16.66653876, 21.09927807])"
222,227,0,"array([16.6809541 , 21.12356438])"
223,228,0,"array([16.73856225, 21.05839745])"
224,229,0,"array([16.74667111, 21.10775457])"
225,230,0,"array([16.74780334, 21.12783742])"
226,231,0,"array([16.72947332, 21.03944938])"
227,232,0,"array([16.68502877, 21.09934232])"
228,233,0,"array([16.74645545, 21.14498313])"
229,234,0,"array([16.74689216, 21.01532248])"
230,235,0,"array([16.74485203, 21.06864678])"
231,236,0,"array([16.71563336, 21.07205328])"
232,237,0,"array([16.72696954, 21.09976242])"
233,238,0,"array([16.69897984, 21.09751022])"
234,239,0,"array([16.71732812, 21.07752933])"
235,240,0,"array([16.75502063, 21.09728017])"
236,241,0,"array([16.70616121, 21.15601545])"
